Id,SepalLengthCm,SepalWidthCm,RandomColumn,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,0.3675367916063713,1.4,0.2,Iris-setosa
2,4.9,3.0,0.3538663110674825,1.4,0.2,Iris-setosa
3,4.7,3.2,0.338589844042105,1.3,0.2,Iris-setosa
4,4.6,3.1,0.8222225495626136,1.5,0.2,Iris-setosa
5,5.0,3.6,0.5040464374453957,1.4,0.2,Iris-setosa
6,5.4,3.9,0.4136944455816644,1.7,0.4,Iris-setosa
7,4.6,3.4,0.234370672097688,1.4,0.3,Iris-setosa
8,5.0,3.4,0.8498150808953114,1.5,0.2,Iris-setosa
9,4.4,2.9,0.7300184934987293,1.4,0.2,Iris-setosa
10,4.9,3.1,0.6434532151173741,1.5,0.1,Iris-setosa
11,5.4,3.7,0.7141275460673607,1.5,0.2,Iris-setosa
12,4.8,3.4,0.6631333197792183,1.6,0.2,Iris-setosa
13,4.8,3.0,0.7441832723027472,1.4,0.1,Iris-setosa
14,4.3,3.0,0.7948759831233093,1.1,0.1,Iris-setosa
15,5.8,4.0,0.4796739620619632,1.2,0.2,Iris-setosa
16,5.7,4.4,0.3898378847202285,1.5,0.4,Iris-setosa
17,5.4,3.9,0.423586827210645,1.3,0.4,Iris-setosa
18,5.1,3.5,0.5077265252805392,1.4,0.3,Iris-setosa
19,5.7,3.8,0.7433844326740573,1.7,0.3,Iris-setosa
20,5.1,3.8,0.6481532998549828,1.5,0.3,Iris-setosa
21,5.4,3.4,0.2031960922405682,1.7,0.2,Iris-setosa
22,5.1,3.7,0.2787888454389408,1.5,0.4,Iris-setosa
23,4.6,3.6,0.404324440777918,1.0,0.2,Iris-setosa
24,5.1,3.3,0.5251230782192355,1.7,0.5,Iris-setosa
25,4.8,3.4,0.7986482427650934,1.9,0.2,Iris-setosa
26,5.0,3.0,0.8094950766526549,1.6,0.2,Iris-setosa
27,5.0,3.4,0.0741747637952178,1.6,0.4,Iris-setosa
28,5.2,3.5,0.394720474302329,1.5,0.2,Iris-setosa
29,5.2,3.4,0.2253278014058009,1.4,0.2,Iris-setosa
30,4.7,3.2,0.9556008482032994,1.6,0.2,Iris-setosa
31,4.8,3.1,0.952765625902483,1.6,0.2,Iris-setosa
32,5.4,3.4,0.8838731532748415,1.5,0.4,Iris-setosa
33,5.2,4.1,0.1825664569974119,1.5,0.1,Iris-setosa
34,5.5,4.2,0.3848792169305666,1.4,0.2,Iris-setosa
35,4.9,3.1,0.0518218406361424,1.5,0.1,Iris-setosa
36,5.0,3.2,0.746196787113805,1.2,0.2,Iris-setosa
37,5.5,3.5,0.813840588088863,1.3,0.2,Iris-setosa
38,4.9,3.1,0.4518114241040579,1.5,0.1,Iris-setosa
39,4.4,3.0,0.6284261758118294,1.3,0.2,Iris-setosa
40,5.1,3.4,0.810419532144495,1.5,0.2,Iris-setosa
41,5.0,3.5,0.7314811161923133,1.3,0.3,Iris-setosa
42,4.5,2.3,0.2516084706368127,1.3,0.3,Iris-setosa
43,4.4,3.2,0.9798885810241332,1.3,0.2,Iris-setosa
44,5.0,3.5,0.5968276863840394,1.6,0.6,Iris-setosa
45,5.1,3.8,0.7394829988553416,1.9,0.4,Iris-setosa
46,4.8,3.0,0.353635543874719,1.4,0.3,Iris-setosa
47,5.1,3.8,0.9140728217501112,1.6,0.2,Iris-setosa
48,4.6,3.2,0.8566846542264152,1.4,0.2,Iris-setosa
49,5.3,3.7,0.0471583118150743,1.5,0.2,Iris-setosa
50,5.0,3.3,0.5753498035538642,1.4,0.2,Iris-setosa
51,7.0,3.2,0.662251720252506,4.7,1.4,Iris-versicolor
52,6.4,3.2,0.4546592534060878,4.5,1.5,Iris-versicolor
53,6.9,3.1,0.1939960014759925,4.9,1.5,Iris-versicolor
54,5.5,2.3,0.5463085119102904,4.0,1.3,Iris-versicolor
55,6.5,2.8,0.127330248426374,4.6,1.5,Iris-versicolor
56,5.7,2.8,0.5989663489621867,4.5,1.3,Iris-versicolor
57,6.3,3.3,0.0453358488230044,4.7,1.6,Iris-versicolor
58,4.9,2.4,0.2410864633950999,3.3,1.0,Iris-versicolor
59,6.6,2.9,0.7842570009782691,4.6,1.3,Iris-versicolor
60,5.2,2.7,0.6108391633354471,3.9,1.4,Iris-versicolor
61,5.0,2.0,0.4991943711601028,3.5,1.0,Iris-versicolor
62,5.9,3.0,0.990520531618052,4.2,1.5,Iris-versicolor
63,6.0,2.2,0.1450775588220766,4.0,1.0,Iris-versicolor
64,6.1,2.9,0.931341646027714,4.7,1.4,Iris-versicolor
65,5.6,2.9,0.0351488263284665,3.6,1.3,Iris-versicolor
66,6.7,3.1,0.5390183258906021,4.4,1.4,Iris-versicolor
67,5.6,3.0,0.4894897457625126,4.5,1.5,Iris-versicolor
68,5.8,2.7,0.8021713681148073,4.1,1.0,Iris-versicolor
69,6.2,2.2,0.9164240119106036,4.5,1.5,Iris-versicolor
70,5.6,2.5,0.1619677759179701,3.9,1.1,Iris-versicolor
71,5.9,3.2,0.162944368444811,4.8,1.8,Iris-versicolor
72,6.1,2.8,0.8740652700000987,4.0,1.3,Iris-versicolor
73,6.3,2.5,0.2147787517013102,4.9,1.5,Iris-versicolor
74,6.1,2.8,0.7475149652628004,4.7,1.2,Iris-versicolor
75,6.4,2.9,0.2066823713836423,4.3,1.3,Iris-versicolor
